time,"# warm-ups since codes cleared ()","A/C pressure (kPa)","Absolute load value (%)","Absolute pedal position D (%)","Absolute pedal position E (%)","Absolute throttle position B (%)","Air:fuel ratio ()","Ambient air temperature (℉)","Average fuel consumption (MPG)","Average fuel consumption (total) (MPG)","Average fuel consumption 10 sec (MPG)","Average speed (mph)","Barometric pressure (kPa)","Calculated boost (bar)","Calculated engine load value (%)","Calculated instant fuel consumption (MPG)","Calculated instant fuel rate (gal./h)","Catalyst temperature Bank 1 Sensor 1 (℉)","Commanded evaporative purge (%)","Commanded throttle actuator (%)","Control module voltage (V)","Distance traveled since codes cleared (miles)","Distance traveled with MIL on (miles)","Distance travelled (miles)","Distance travelled (total) (miles)","Engine coolant temperature (℉)","Engine RPM (rpm)","Ethanol fuel percent (%)","Evap. system vapor pressure (Pa)","Fuel economizer (based on fuel system status and throttle position) ()","Fuel level input (%) (%)","Fuel level input (V) (gallon)","Fuel rail press. (kPa)","Fuel used (gallon)","Fuel used (total) (gallon)","Fuel used price ($)","Fuel used price (total) ($)","Fuel/Air commanded equivalence ratio ()","Instant engine power (based on fuel consumption) (hp)","Intake air temperature (℉)","Knock retard (°)","Lambda ()","Learned octane ()","Long term fuel % trim - Bank 1 (%)","MAF air flow rate (g/sec)","OBD Module Voltage (V)","Oxygen sensor 1 Wide Range Current (mA) (mA)","Oxygen sensor 1 Wide Range Equivalence ratio ()","Oxygen sensor 2 Bank 1 Short term fuel trim (%)","Oxygen sensor 2 Bank 1 Voltage (V)","Power from MAF (hp)","Relative throttle position (%)","Short term fuel % trim - Bank 1 (%)","Throttle position (%)","Throttle Position Actually (°)","Throttle Position Desired (°)","Timing advance (°)","Transmission Odometer (℉)","Vane position sensor (V)","Variable camshaft actual advance #1 (°)","Vehicle acceleration (g)","Vehicle speed (mph)",
06:21:44.960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.75,,,,,,,
06:21:45.142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.57861328125,,,,,,,,
06:21:49.594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.34576416015625,,,,,,,,,,,,,,,,,,,,
06:21:49.818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
06:21:49.917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
06:21:51.451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
06:21:51.642,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:21:52.172,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
06:21:53.234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281382.8,,,,,
06:21:53.569,,,,,,,,,,,,,,,,,,,,,,,,,,48.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:21:53.773,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,-3.90625,,,,,,,,,0,,,,,,,,,,
06:21:53.988,,,,,,,,,,82.9314346073819,,0,,,,,0,,,,,,,0,6.31512192545534,,,,,-1,,,,0,0.0761488317490363,0,0.29,,0,59,,,,,0,,,,,0.465,0,,,16.8627450980392,,,10,,,,,0,
06:21:54.234,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,46,5.5199989001188,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:21:54.452,255,,,,,,,,,,,,85,,,,,47.66,,,,40721.5610832737,,,,,,,34.25,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,
06:21:54.641,,,0,,,,,-40,,,,,,,,,,,,,11.775,,,,,,,,,,,,,,,,,14.6753922,,,,,,,,,,,,,,8,,,,,,,,,,,
06:21:54.776,,,,15,7,16,,,,,,,,,,,,,,8,,,,,,,,10.9803921568627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:21:54.838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8,,,,,,,,,,,,,,,,,
06:21:59.453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.75,,,,,,,
06:21:59.566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.57861328125,,,,,,,,
06:22:03.846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.34576416015625,,,,,,,,,,,,,,,,,,,,
06:22:04.104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
06:22:04.245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
06:22:05.841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
06:22:06.004,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:22:06.294,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
06:22:07.690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281382.8,,,,,
06:22:08.052,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,-3.90625,,,,,,,,,0,,,,,,,,,,
06:22:08.197,,,,,,,,,,82.9314346073819,,0,,,,,0,,,,,,,0,6.31512192545534,,,,,-1,,,,0,0.0761488317490363,0,0.29,,0,60.8,,,,,0,,,,,0.46,0,,,16.8627450980392,,,10,,,,,0,
06:22:08.411,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,46,5.5199989001188,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:22:08.576,255,,,,,,,,,,,,85,,,,,47.48,,,,40721.5610832737,,,,,,,34.25,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,
06:22:08.769,,,0,,,,,-40,,,,,,,,,,,,,11.751,,,,,,,,,,,,,,,,,14.6753922,,,,,,,,,,,,,,8,,,,,,,,,,,
06:22:08.893,,,,15,7,16,,,,,,,,,,,,,,8,,,,,,,,10.9803921568627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:22:08.966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8,,,,,,,,,,,,,,,,,
06:22:13.602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.75,,,,,,,
06:22:13.672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.57861328125,,,,,,,,
06:22:17.943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.34576416015625,,,,,,,,,,,,,,,,,,,,
06:22:18.207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
06:22:18.341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
06:22:19.945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
06:22:20.025,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:22:21.575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281382.8,,,,,
06:22:22.111,,,,,,,,,,,,,,,,,,,,,,,,,,48.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:22:22.304,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,-3.90625,,,,,,,,,0,,,,,,,,,,
06:22:22.525,,,,,,,,,,82.9314346073819,,0,,,,,0,,,,,,,0,6.31512192545534,,,,,-1,,,,0,0.0761488317490363,0,0.29,,0,60.8,,,,,0,,,,,0.465,0,,,16.8627450980392,,,10,,,,0,0,
06:22:22.651,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,46,5.5199989001188,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:22:22.852,255,,,,,,,,,,,,85,,,,,47.48,,,,40721.5610832737,,,,,,,34.25,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,
06:22:23.063,,,0,,,,,-40,,,,,,,,,,,,,11.751,,,,,,,,,,,,,,,,,14.6753922,,,,,,,,,,,,,,8,,,,,,,,,,,
06:22:23.265,,,,15,7,16,,,,,,,,,,,,,,8,,,,,,,,10.9803921568627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:22:23.332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8,,,,,,,,,,,,,,,,,
06:22:27.908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.75,,,,,,,
06:22:27.979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.57861328125,,,,,,,,
06:22:32.365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.34576416015625,,,,,,,,,,,,,,,,,,,,
06:22:32.657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
06:22:32.758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
06:22:34.414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
06:22:34.481,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:22:34.738,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
06:22:35.825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281382.8,,,,,
06:22:36.188,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,-3.90625,,,,,,,,,0,,,,,,,,,,
06:22:36.367,,,,,,,,,,82.9314346073819,,0,,,,,0,,,,,,,0,6.31512192545534,,,,,-1,,,,0,0.0761488317490363,0,0.29,,0,60.8,,,,,0,,,,,0.46,0,,,16.8627450980392,,,10,,,,0,0,
06:22:36.587,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,46,5.5199989001188,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:22:36.850,255,,,,,,,,,,,,85,,,,,47.48,,,,40721.5610832737,,,,,,,34.25,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,
06:22:37.059,,,0,,,,,,,,,,,,,,,,,,11.751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:22:37.253,,,,15,7,16,,,,,,,,,,,,,,8,,,,,,,,10.9803921568627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:22:37.302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8,,,,,,,,,,,,,,,,,
06:22:41.582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.75,,,,,,,
06:22:41.723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.57861328125,,,,,,,,
06:22:46.455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
06:22:46.565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
06:22:48.761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
06:22:48.905,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:22:50.321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281382.8,,,,,
06:22:50.574,,,,,,,,,,,,,,,,,,,,,,,,,,48.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:22:50.796,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,-3.90625,,,,,,,,,0,,,,,,,,,,
06:22:51.172,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,46,5.5199989001188,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:22:51.376,255,,,,,,,,,,,,85,,,,,47.3,,,,40721.5610832737,,,,,,,34.25,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,
06:22:51.784,,,,15,7,16,,,,,,,,,,,,,,8,,,,,,,,10.9803921568627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:22:51.918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8,,,,,,,,,,,,,,,,,
06:22:56.909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.75,,,,,,,
06:22:57.190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.57861328125,,,,,,,,
06:23:01.436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.34576416015625,,,,,,,,,,,,,,,,,,,,
06:23:01.929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
06:23:02.141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
06:23:03.831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
06:23:03.904,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:23:04.182,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
06:23:05.289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281382.8,,,,,
06:23:05.649,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,-3.90625,,,,,,,,,0,,,,,,,,,,
06:23:05.742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
06:23:05.934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.8,,,,,,,,,,,,,,,,,,,,,,,
06:23:06.091,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,,,,,,,
06:23:06.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,16.8627450980392,,,,,,,,,
06:23:06.328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46,,,,,,,,,,,,,
06:23:06.577,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,46,5.5199989001188,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:23:06.847,255,,,,,,,,,,,,85,,,,,47.3,,,,40721.5610832737,,,,,,,34.25,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,
06:23:07.259,,,,,,,,,,,,,,,,,,,,,11.751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:23:07.425,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:23:07.564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.6753922,,,,,,,,,,,,,,,,,,,,,,,,,
06:23:07.631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,
06:23:07.730,,,,,,,,-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:23:07.871,,,,15,7,16,,,,,,,,,,,,,,8,,,,,,,,10.9803921568627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:23:07.932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8,,,,,,,,,,,,,,,,,
06:23:12.607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.75,,,,,,,
06:23:12.709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.57861328125,,,,,,,,
06:23:17.102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.34576416015625,,,,,,,,,,,,,,,,,,,,
06:23:17.411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
06:23:17.565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
06:23:19.404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
06:23:19.567,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:23:19.854,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
06:23:21.108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281382.8,,,,,
06:23:21.438,,,,,,,,,,,,,,,,,,,,,,,,,,48.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:23:21.653,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,-3.90625,,,,,,,,,0,,,,,,,,,,
06:23:21.784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
06:23:21.994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,
06:23:22.178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.8,,,,,,,,,,,,,,,,,,,,,,,
06:23:22.282,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,,,,,,,
06:23:22.411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,16.8627450980392,,,,,,,,,
06:23:22.493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46,,,,,,,,,,,,,
06:23:22.703,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,46,5.5199989001188,470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:23:22.944,255,,,,,,,,,,,,85,,,,,47.3,,,,40721.5610832737,,,,,,,34.25,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,
06:23:23.184,,,,,,,,,,,,,,,,,,,,,11.751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:23:23.336,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:23:23.465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.6753922,,,,,,,,,,,,,,,,,,,,,,,,,
06:23:23.570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,
06:23:23.721,,,,,,,,-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:23:23.894,,,,15,7,16,,,,,,,,,,,,,,8,,,,,,,,10.9803921568627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:23:23.963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8,,,,,,,,,,,,,,,,,
06:23:28.567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.75,,,,,,,
06:23:28.635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.57861328125,,,,,,,,
